scenario_id,label,success,failure_reason,hover_height_cmd,landing_height_m,wind_speed_cmd,wind_dir_cmd,mean_wind_speed,max_wind_speed,wind_velocity_x,wind_velocity_y,wind_velocity,wind_acceleration_x,wind_acceleration_y,wind_acceleration,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,final_altitude,final_abs_speed,final_abs_roll_deg,final_abs_pitch_deg,final_tag_error,stability_std_z,stability_std_vz,stability_std_vz_osc,touchdown_accel_rms,contact_count,mean_imu_ang_vel,max_imu_ang_vel,mean_imu_lin_acc,max_imu_lin_acc,max_contact_force,arm_force_fl_mean,arm_force_fr_mean,arm_force_rl_mean,arm_force_rr_mean,arm_force_fl_peak,arm_force_fr_peak,arm_force_rl_peak,arm_force_rr_peak,arm_force_peak_max,arm_force_imbalance,impact_weight_n,impact_total_force_limit_n,impact_arm_imbalance_limit_n,impact_arm_peak_limit_n,contact_metrics_available,final_state,landing_cmd_time,pred_decision,executed_action,action_source,probe_episode,probe_reason,gt_safe_to_land,decision_outcome,semantic_environment,semantic_drone_state,semantic_visual_state,semantic_landing_context,semantic_relation,semantic_integration,landing_feasibility,scenario_policy,target_case,launch_pid,launch_log,exception_message
171,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_land,-1,,Arrays have incompatible sizes for this operation.
172,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,unsafe_hover_timeout,-1,,Arrays have incompatible sizes for this operation.
173,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,hard_negative,safe_land,-1,,Arrays have incompatible sizes for this operation.
174,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,exploit,unsafe_forced_land,-1,,Arrays have incompatible sizes for this operation.
175,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_land,-1,,Arrays have incompatible sizes for this operation.
176,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_hover_timeout,-1,,Arrays have incompatible sizes for this operation.
177,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,hard_negative,safe_land,-1,,Arrays have incompatible sizes for this operation.
178,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_land,-1,,Arrays have incompatible sizes for this operation.
179,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,unsafe_hover_timeout,-1,,Arrays have incompatible sizes for this operation.
180,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,hard_negative,safe_land,-1,,Arrays have incompatible sizes for this operation.
181,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,exploit,safe_land,-1,,Arrays have incompatible sizes for this operation.
182,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,exploit,unsafe_hover_timeout,-1,,Arrays have incompatible sizes for this operation.
183,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,hard_negative,safe_land,-1,,Arrays have incompatible sizes for this operation.
184,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,unsafe_forced_land,-1,,Arrays have incompatible sizes for this operation.
185,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,hard_negative,safe_land,-1,,Arrays have incompatible sizes for this operation.
186,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_hover_timeout,-1,,Arrays have incompatible sizes for this operation.
187,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_land,-1,,Arrays have incompatible sizes for this operation.
188,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_land,-1,,Arrays have incompatible sizes for this operation.
189,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,unsafe_hover_timeout,-1,,Arrays have incompatible sizes for this operation.
190,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_land,-1,,Arrays have incompatible sizes for this operation.
191,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_land,-1,,Arrays have incompatible sizes for this operation.
192,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,exploit,unsafe_hover_timeout,-1,,Arrays have incompatible sizes for this operation.
193,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_land,-1,,Arrays have incompatible sizes for this operation.
194,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,unsafe_forced_land,-1,,Arrays have incompatible sizes for this operation.
195,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_land,-1,,Arrays have incompatible sizes for this operation.
196,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_hover_timeout,-1,,Arrays have incompatible sizes for this operation.
197,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,exploit,safe_land,-1,,Arrays have incompatible sizes for this operation.
198,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,hard_negative,safe_land,-1,,Arrays have incompatible sizes for this operation.
199,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,unsafe_hover_timeout,-1,,Arrays have incompatible sizes for this operation.
200,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_land,-1,,Arrays have incompatible sizes for this operation.
201,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,hard_negative,safe_land,-1,,Arrays have incompatible sizes for this operation.
202,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,unsafe_hover_timeout,-1,,Arrays have incompatible sizes for this operation.
203,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,hard_negative,safe_land,-1,,Arrays have incompatible sizes for this operation.
204,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,unsafe_forced_land,-1,,Arrays have incompatible sizes for this operation.
205,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,exploit,safe_land,-1,,Arrays have incompatible sizes for this operation.
206,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_hover_timeout,-1,,Arrays have incompatible sizes for this operation.
207,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_land,-1,,Arrays have incompatible sizes for this operation.
208,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_land,-1,,Arrays have incompatible sizes for this operation.
209,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,exploit,unsafe_hover_timeout,-1,,Arrays have incompatible sizes for this operation.
210,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,hard_negative,safe_land,-1,,Arrays have incompatible sizes for this operation.
211,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,exploit,safe_land,-1,,Arrays have incompatible sizes for this operation.
212,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,hard_negative,unsafe_hover_timeout,-1,,Arrays have incompatible sizes for this operation.
213,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,hard_negative,safe_land,-1,,Arrays have incompatible sizes for this operation.
